[Connect DataFile][1.1]
Date:	6/3/2025
Time:	12:08:27.815
Unit:	°C
Resolution:	0.037037037037037
Values:	1
Time	Area 1	
00:00:24.259	125.0	
00:00:24.296	125.0	
00:00:24.333	125.0	
00:00:24.370	125.0	
00:00:24.407	125.0	
00:00:24.444	125.0	
00:00:24.481	125.0	
00:00:24.518	125.0	
00:00:24.555	125.0	
00:00:24.592	125.0	
00:00:24.629	125.0	
00:00:24.666	125.0	
00:00:24.703	125.0	
00:00:24.740	125.0	
00:00:24.777	125.0	
00:00:24.814	125.0	
00:00:24.851	125.0	
00:00:24.888	125.0	
00:00:24.925	125.0	
00:00:24.962	125.0	
00:00:25.000	125.5	
00:00:25.037	125.8	
00:00:25.074	126.2	
00:00:25.111	126.2	
00:00:25.148	126.2	
00:00:25.185	126.8	
00:00:25.222	126.8	
00:00:25.259	126.5	
00:00:25.296	127.5	
00:00:25.333	127.9	
00:00:25.370	127.9	
00:00:25.407	128.2	
00:00:25.444	128.2	
00:00:25.481	128.2	
00:00:25.518	128.9	
00:00:25.555	129.5	
00:00:25.592	129.2	
00:00:25.629	129.5	
00:00:25.666	130.2	
00:00:25.703	129.9	
00:00:25.740	130.5	
00:00:25.777	130.5	
00:00:25.814	130.9	
00:00:25.851	131.5	
00:00:25.888	131.2	
00:00:25.925	131.5	
00:00:25.962	131.9	
00:00:26.000	132.5	
00:00:26.037	132.2	
00:00:26.074	132.8	
00:00:26.111	133.2	
00:00:26.148	133.5	
00:00:26.185	133.5	
00:00:26.222	133.8	
00:00:26.259	134.1	
00:00:26.296	134.1	
00:00:26.333	134.5	
00:00:26.370	134.5	
00:00:26.407	134.8	
00:00:26.444	135.4	
00:00:26.481	135.1	
00:00:26.518	135.7	
00:00:26.555	135.7	
00:00:26.592	136.4	
00:00:26.629	136.4	
00:00:26.666	136.4	
00:00:26.703	136.4	
00:00:26.740	137.0	
00:00:26.777	137.0	
00:00:26.814	137.0	
00:00:26.851	138.0	
00:00:26.888	138.0	
00:00:26.925	138.0	
00:00:26.962	138.6	
00:00:27.000	138.9	
00:00:27.037	138.9	
00:00:27.074	139.5	
00:00:27.111	139.2	
00:00:27.148	139.8	
00:00:27.185	139.8	
00:00:27.222	139.8	
00:00:27.259	140.1	
00:00:27.296	140.8	
00:00:27.333	140.8	
00:00:27.370	141.1	
00:00:27.407	142.0	
00:00:27.444	142.3	
00:00:27.481	142.0	
00:00:27.518	142.0	
00:00:27.555	142.3	
00:00:27.592	142.3	
00:00:27.629	142.6	
00:00:27.666	142.9	
00:00:27.703	143.2	
00:00:27.740	143.8	
00:00:27.777	143.8	
00:00:27.814	144.1	
00:00:27.851	143.5	
00:00:27.888	144.7	
00:00:27.925	144.1	
00:00:27.962	145.3	
00:00:28.000	145.3	
00:00:28.037	145.3	
00:00:28.074	145.6	
00:00:28.111	145.9	
00:00:28.148	145.6	
00:00:28.185	145.9	
00:00:28.222	146.8	
00:00:28.259	146.8	
00:00:28.296	147.4	
00:00:28.333	146.8	
00:00:28.370	146.8	
00:00:28.407	147.1	
00:00:28.444	147.4	
00:00:28.481	148.2	
00:00:28.518	147.9	
00:00:28.555	148.2	
00:00:28.592	148.2	
00:00:28.629	148.5	
00:00:28.666	149.1	
00:00:28.703	149.1	
00:00:28.740	149.4	
00:00:28.777	149.4	
00:00:28.814	149.7	
00:00:28.851	149.7	
00:00:28.888	149.7	
00:00:28.925	150.0	
00:00:28.962	150.3	
00:00:29.000	150.6	
00:00:29.037	150.8	
00:00:29.074	151.1	
00:00:29.111	151.7	
00:00:29.148	152.5	
00:00:29.185	151.7	
00:00:29.222	152.3	
00:00:29.259	152.0	
00:00:29.296	152.3	
00:00:29.333	152.5	
00:00:29.370	152.8	
00:00:29.407	152.8	
00:00:29.444	152.8	
00:00:29.481	152.5	
00:00:29.518	154.0	
00:00:29.555	154.0	
00:00:29.592	153.7	
00:00:29.629	154.0	
00:00:29.666	154.2	
00:00:29.703	154.5	
00:00:29.740	155.1	
00:00:29.777	155.6	
00:00:29.814	155.1	
00:00:29.851	155.4	
00:00:29.888	156.2	
00:00:29.925	155.6	
00:00:29.962	155.9	
00:00:30.000	155.6	
00:00:30.037	156.7	
00:00:30.074	157.0	
00:00:30.111	157.0	
00:00:30.148	157.6	
00:00:30.185	157.8	
00:00:30.222	157.6	
00:00:30.259	157.3	
00:00:30.296	157.8	
00:00:30.333	158.1	
00:00:30.370	158.1	
00:00:30.407	158.7	
00:00:30.444	158.7	
00:00:30.481	158.7	
00:00:30.518	158.9	
00:00:30.555	160.3	
00:00:30.592	158.9	
00:00:30.629	159.7	
00:00:30.666	160.0	
00:00:30.703	160.0	
00:00:30.740	160.3	
00:00:30.777	160.3	
00:00:30.814	160.3	
00:00:30.851	160.8	
00:00:30.888	160.3	
00:00:30.925	160.8	
00:00:30.962	161.1	
00:00:31.000	161.6	
00:00:31.037	161.1	
00:00:31.074	161.6	
00:00:31.111	161.4	
00:00:31.148	161.9	
00:00:31.185	161.9	
00:00:31.222	161.9	
00:00:31.259	162.4	
00:00:31.296	162.4	
00:00:31.333	162.9	
00:00:31.370	162.4	
00:00:31.407	163.2	
00:00:31.444	163.5	
00:00:31.481	163.2	
00:00:31.518	163.2	
00:00:31.555	163.5	
00:00:31.592	163.5	
00:00:31.629	164.3	
00:00:31.666	164.8	
00:00:31.703	164.0	
00:00:31.740	164.8	
00:00:31.777	164.8	
00:00:31.814	165.1	
00:00:31.851	164.8	
00:00:31.888	165.1	
00:00:31.925	165.3	
00:00:31.962	165.3	
00:00:32.000	165.8	
00:00:32.037	166.4	
00:00:32.074	166.4	
00:00:32.111	166.9	
00:00:32.148	168.7	
00:00:32.185	169.4	
00:00:32.222	171.0	
00:00:32.259	172.5	
00:00:32.296	173.2	
00:00:32.333	173.2	
00:00:32.370	175.7	
00:00:32.407	176.9	
00:00:32.444	176.7	
00:00:32.481	177.1	
00:00:32.518	176.9	
00:00:32.555	176.7	
00:00:32.592	176.7	
00:00:32.629	177.1	
00:00:32.666	177.1	
00:00:32.703	177.9	
00:00:32.740	177.9	
